ClassLoader.loadClass;Harness;java.lang.Class.forName0;;jdk.internal.loader.ClassLoaders$AppClassLoader;jdk.internal.loader.ClassLoaders$AppClassLoader
ClassLoader.loadClass;avrora.Defaults$AutoProgramReader;avrora.Defaults.addInputFormats;149;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.Defaults;avrora.Main.runAction;135;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.Main;java.lang.Class.forName0;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.Version;avrora.Main.title;311;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.Action;avrora.Defaults.addActions;170;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.AnalyzeStackAction;avrora.Defaults.addActions;174;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.CFGAction;avrora.Defaults.addActions;176;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.DisassembleAction;avrora.Defaults.addActions;172;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.ELFDumpAction;avrora.Defaults.addActions;179;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.ISEAAction;avrora.Defaults.addActions;177;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.SimAction$AsynchronousExit;java.lang.Class.getDeclaredConstructors0;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.SimAction$BreakPointException;java.lang.Class.getDeclaredConstructors0;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.SimAction$ShutdownThread;java.lang.Class.getDeclaredConstructors0;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.SimAction$TimeoutException;java.lang.Class.getDeclaredConstructors0;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.SimAction;avrora.Defaults.addActions;173;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.actions.TestAction;avrora.Defaults.addActions;175;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.AbstractArchitecture;avrora.arch.ArchitectureRegistry.addArchitectures;56;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.AbstractDisassembler;avrora.arch.ArchitectureRegistry.addArchitectures;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.AbstractInstr;avrora.arch.ArchitectureRegistry.addArchitectures;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.ArchitectureRegistry;avrora.syntax.elf.ELFParser.getArchitecture;118;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.avr.AVRArchitecture;avrora.arch.ArchitectureRegistry.addArchitectures;59;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.avr.AVRProperties;avrora.sim.platform.Mica2$Factory.newPlatform;74;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyArchitecture;avrora.arch.ArchitectureRegistry.addArchitectures;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyDisassembler$InvalidInstruction;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyDisassembler;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$ADC;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$ADD;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$ADIW;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$AND;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$ANDI;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$ASR;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$BLD;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$BRCC;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$BRCS;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$BREAK;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
