ClassLoader.loadClass;Harness;java.lang.Class.forName0;;jdk.internal.loader.ClassLoaders$AppClassLoader;jdk.internal.loader.ClassLoaders$AppClassLoader
ClassLoader.loadClass;com.codahale.metrics.Counting;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.codahale.metrics.Histogram;org.apache.zookeeper.server.metric.AvgMinMaxPercentileCounter.<init>;106;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.codahale.metrics.Metric;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.codahale.metrics.Reservoir;org.apache.zookeeper.metrics.impl.DefaultMetricsProvider$DefaultMetricsContext.lambda$getSummary$2;126;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.codahale.metrics.Sampling;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.codahale.metrics.Snapshot;org.apache.zookeeper.server.metric.AvgMinMaxPercentileCounter.<init>;105;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.codahale.metrics.UniformSnapshot;org.apache.zookeeper.server.metric.AvgMinMaxPercentileCounter.<init>;105;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JacksonAnnotation;java.lang.Class.forName0;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JacksonAnnotationValue;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JacksonAnnotationsInside;com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector.isAnnotationBundle;161;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JacksonInject;com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector.findInjectableValue;489;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonAlias;com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector.findPropertyAliases;382;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonAnyGetter;com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector.hasAnyGetter;1112;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonAnySetter;com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector.hasAnySetter;1344;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonAutoDetect$1;com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility.isVisible;75;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility;com.fasterxml.jackson.databind.introspect.VisibilityChecker$Std.<clinit>;164;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonAutoDetect;com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector.findAutoDetectVisibility;364;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonBackReference;com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector.<clinit>;37;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonCreator$Mode;java.lang.Class.getDeclaredMethods0;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonCreator;java.lang.Class.forName0;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonFilter;com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector.findFilterId;330;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonFormat$Feature;com.fasterxml.jackson.databind.ser.std.MapSerializer.createContextual;547;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonFormat$Features;com.fasterxml.jackson.annotation.JsonFormat$Value.<init>;461;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;com.fasterxml.jackson.annotation.JsonFormat$Shape;com.fasterxml.jackson.annotation.JsonFormat$Value.<init>;461;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
